ID,ExpDens,StdDens,CalDens,CalDens2,AvgDens,MaxDens,MinDens,ubDens,lbDens,ErrDens,ExpCpt,StdCpt,CalCpt,CalCpt2,AvgCpt,MaxCpt,MinCpt,ubCpt,lbCpt,ErrCpt
16,1479.4,0,1441.1322,1437.158,1439.1451,1479.8,1479,0.4,0.4,2.721028795,586,0,524.729,505.9,515.3145,586,586,0,0,12.06237201
17,1435.924783,1.43,1418.0972,1418.5332,1418.3152,1437.9,1430,1.975217,5.924783,1.226358317,563.12,18.66,534.17,510.105,522.1375,599,531,35.88,32.12,7.277756073
18,1400.425,5.8,1383.0922,1382.4382,1382.7652,1403.6,1391.7,3.175,8.725,1.261031473,595.6,0,564.854,587.843,576.3485,595.6,595.6,0,0,3.23228677
19,1407.05,0,1365.971,1370.395,1368.183,1403.6,1407,3.45,0.05,2.762304111,633,0,622.474,630.032,626.253,633,633,0,0,1.065876777
20,1060.3675,1.58,1036.842,1037.3326,1037.0873,1065,1059,4.6325,1.3675,2.195484113,373.3,5.53,379.579,384.888,382.2335,376.2,365,2.9,8.3,2.393115457
22,1028.625,0.19,1004.1023,1003.44806,1003.77518,1028.9,1028.5,0.275,0.125,2.415828898,534,0,433.576,448.08,440.828,534,534,0,0,17.44794007
24,1013.545714,0.46,1029.52616,1029.79386,1029.66001,1014.5,1013,0.954286,0.545714,1.589893359,502,0,418.29,410.342,414.316,502,502,0,0,17.46693227
25,1298.500588,2.6,1278.7046,1277.5136,1278.1091,1303.8,1292,5.299412,6.500588,1.570387275,428.871429,12.89,424.666,425.875,425.2705,457,417.2,28.128571,11.671429,0.839629026
26,1384.668182,1.18,1366.9314,1366.6592,1366.7953,1387.1,1383.6,2.431818,1.068182,1.290770037,363.15,0.1,360.324,348.991,354.6575,363.2,363,0.05,0.15,2.338565331
27,1314.33,0,1271.6056,1272.1376,1271.8716,1314.33,1314.33,0,0,3.230421584,470,0,418.333,423.572,420.9525,470,470,0,0,10.4356383
28,1252.508889,0.35,1272.6548,1270.4744,1271.5646,1252.98,1252,0.471111,0.508889,1.521403254,435,0,472.367,505.906,489.1365,435,435,0,0,12.44517241
29,1239.7825,3.73,1228.3982,1229.4306,1228.9144,1243.8,1234,4.0175,5.7825,0.876613438,346,0,338.214,341.84,340.027,346,346,0,0,1.726300578
30,1287.845,24.16,1265.4994,1265.2976,1265.3985,1361,1263,73.155,24.845,1.742950433,341,0,354.847,352.146,353.4965,341,341,0,0,3.664662757
31,1345.46,0,1307.363,1308.32,1307.8415,1346.12,1344.8,0.66,0.66,2.79595826,299,0,342.488,327.198,334.843,299,299,0,0,11.98762542
33,1046.855,0.45,1039.418,1040.42712,1039.92256,1047.5,1046.2,0.645,0.655,0.662215875,298.15,0,452.156,422.848,437.502,298.1,298.1,0.05,0.05,46.73888982
34,1116.53125,0.84,1109.6954,1109.1068,1109.4011,1118,1115.5,1.46875,1.03125,0.638598337,281.4,0,282.692,290.674,286.683,281.4,281.4,0,0,1.877398721
35,1061.7,0,1023.15636,1024.09974,1023.62805,1061.7,1061.7,0,0,3.585942357,522,0,544.492,540.688,542.59,522,522,0,0,3.944444444
36,1056.2025,12.99,1011.12606,1011.36012,1011.24309,1097,1047.4,40.7975,8.8025,4.256703615,382.1,0,387.907,381.657,384.782,383.2,381,1.1,1.1,0.701910495
37,1098.621429,19.16,1061.496,1061.384,1061.44,1144,1027,45.378571,71.621429,3.38437136,321.9,0,313.981,327.63,320.8055,321.9,321.9,0,0,0.340012426
38,1077.7475,3.59,1054.5935,1055.73464,1055.16407,1081.59,1074.4,3.8425,3.3475,2.09542866,323,0,309.607,315.211,312.409,323,323,0,0,3.278947368
39,1192.8,0,1190.4962,1189.354,1189.9251,1192.8,1192.8,0,0,0.241021127,338.4,0,324.501,322.983,323.742,338.4,338.4,0,0,4.331560284
40,1273.3,49.11,1301.076,1302.6896,1301.8828,1302.3,1200,29,73.3,2.244781277,278.8,34.15,296.381,331.375,313.878,317,241.8,38.2,37,12.58177905
43,1355.1,0,1322.938,1317.2132,1320.0756,1355.1,1355.1,0,0,2.58463582,709,0,650.741,707.241,678.991,709,709,0,0,4.2325811
44,1416.44,4.71,1373.5056,1374.0392,1373.7724,1425,1412,8.56,4.44,3.012312558,578,0,539.127,562.251,550.689,578,578,0,0,4.725086505
45,1408.9,0,1367.163,1372.3996,1369.7813,1408.9,1408.9,0,0,2.776541983,658,0,672.029,601.455,636.742,658,658,0,0,3.230699088
46,1380,0,1383.6106,1386.286,1384.9483,1380.8,1379.2,0.8,0.8,0.358572464,608,0,603.712,601.485,602.5985,608,608,0,0,0.888404605
47,1220,0,1203.2348,1202.8544,1203.0446,1220,1220,0,0,1.389786885,412,0,397.075,401.105,399.09,412,412,0,0,3.133495146
48,1256.642857,3.91,1247.3478,1246.7916,1247.0697,1261.3,1250,4.657143,6.642857,0.761804115,283,0,353.42,359.352,356.386,283,283,0,0,25.93144876
49,1153.1,0,1175.6888,1174.9134,1175.3011,1186.2,1120,33.1,33.1,1.925340387,231.8,0,339.791,327.688,333.7395,231.8,231.8,0,0,43.97735116
50,1156.5,0,1122.2084,1124.0016,1123.105,1156.5,1156.5,0,0,2.887591872,305.8,0,355.774,363.103,359.4385,305.8,305.8,0,0,17.54038587
51,1178.325,73.57,1169.5788,1169.2598,1169.4193,1217,1068,38.675,110.325,0.755793181,407.9,0,403.661,415.375,409.518,407.9,407.9,0,0,0.396665849
53,1051.1,0,1041.5362,1041.58876,1041.56248,1051.1,1051.1,0,0,0.907384645,827,0,668.002,684.74,676.371,827,827,0,0,18.21390568
57,999.5,0,966.30206,968.7091,967.50558,999.5,999.5,0,0,3.201042521,753,0,697.185,699.171,698.178,753,753,0,0,7.280478088
60,1474.58,0.55,1457.7482,1458.791,1458.2696,1475.6,1473.97,1.02,0.61,1.106104789,511.95,0,498.436,500.592,499.514,534.9,489,22.95,22.95,2.429143471
61,1518.628,1.66,1502.7254,1502.1374,1502.4314,1525.2,1514.7,6.572,3.928,1.066528472,506.1,21.08,465.645,460.344,462.9945,525,462,18.9,44.1,8.517190279
62,1371.097,2.61,1353.486,1352.4026,1352.9443,1373.2,1357,2.103,14.097,1.323954469,629.52,19.344,630.078,599.61,614.844,667,583,37.48,46.52,2.331300038
63,1394.794,0.71,1416.5812,1414.1082,1415.3447,1397,1394,2.206,0.794,1.473386034,601.75,20.53,568.353,554.867,561.61,629,584,27.25,17.75,6.670544246
64,1320.201,2.84,1302.1486,1300.1534,1301.151,1325,1310,4.799,10.201,1.442962094,692.4,39.54,679.59,685.969,682.7795,733,654,40.6,38.4,1.389442519
65,1535.552,2.18,1495.5658,1495.5386,1495.5522,1538,1532,2.448,3.552,2.604913412,522,0,452.547,436.27,444.4085,522,522,0,0,14.86427203
67,1250.247,0.98,1189.957,1191.599,1190.778,1251.2,1249.24,0.953,1.007,4.7565801,755,0,732.076,774.433,753.2545,775,755,20,0,0.231192053
70,1237.45,0,1260.7654,1260.9224,1260.8439,1244.7,1230.2,7.25,7.25,1.890492545,820.2,0,804,743.459,773.7295,820.2,820.2,0,0,5.665752256
72,1492,0,1470.8704,1470.166,1470.5182,1493,1491,1,1,1.439798928,604.75,3.86,526.104,542.831,534.4675,607,599,2.25,5.75,11.62174452
73,1505.53,0,1456.2674,1456.2322,1456.2498,1505.71,1505.35,0.18,0.18,3.273279177,534,0,476.069,504.928,490.4985,534,534,0,0,8.146348315
74,1287.19,5.57,1225.959,1226.6262,1226.2926,1291.4,1279,4.21,8.19,4.731034268,713,0,698.319,693.068,695.6935,713,713,0,0,2.427279102
78,1219.73,0,1154.3438,1153.3646,1153.8542,1220.2,1219.26,0.47,0.47,5.400851008,412,0,444.386,470.02,457.203,412,412,0,0,10.97160194
79,1436.3,0,1426.0444,1427.207,1426.6257,1436.3,1436.3,0,0,0.673557056,565,0,506.07,505.531,505.8005,565,565,0,0,10.47778761
80,1237.399231,2.17,1217.9626,1217.2006,1217.5816,1242.3,1228,4.900769,9.399231,1.601555141,388,6.78,378.125,380.796,379.4605,394.4,378,6.4,10,2.200902062
